action_code;action_name;category;duration_min;cost
X624999;ΔΙΑΔΕΡΜΙΚΗ ΣΠΟΝΔΥΛΟΠΛΑΣΤΙΚΗ, ΕΝΑ ΣΠΟΝΔΥΛΙΚΟ ΣΩΜΑ, ΕΤΕΡΟΠΛΕΥΡΗ Ή ΑΜΦΙΠΛΕΥΡΗ ΕΝΕΣΗ. ΘΩΡΑΚΙΚΗ;Surgical;111;1409.86
X625001;ΔΙΑΔΕΡΜΙΚΗ  ΣΠΟΝΔΥΛΟΠΛΑΣΤΙΚΗ, ΕΝΑ ΣΠΟΝΔΥΛΙΚΟ ΣΩΜΑ, ΕΤΕΡΟΠΛΕΥΡΗ Ή ΑΜΦΙΠΛΕΥΡΗ ΕΝΕΣΗ. ΟΣΦΥΪΚΗ;Surgical;208;1277.33
X625003;ΔΙΑΔΕΡΜΙΚΗ  ΣΠΟΝΔΥΛΟΠΛΑΣΤΙΚΗ, ΕΝΑ ΣΠΟΝΔΥΛΙΚΟ ΣΩΜΑ, ΕΤΕΡΟΠΛΕΥΡΗ Ή ΑΜΦΙΠΛΕΥΡΗ ΕΝΕΣΗ. ΚΑΘΕ ΕΠΙΠΛΕΟΝ ΘΩΡΑΚΙΚΟ Ή ΟΣΦΥΪΚΟ ΣΠΟΝΔΥΛΙΚΟ ΣΩΜΑ (ΚΑΤΑΧΩΡΗΣΤΕ ΞΕΧΩΡΙΣΤΑ ΕΠΙΠΛΕΟΝ ΤΟΥ ΚΩΔΙΚΟΥ ΓΙΑ ΤΗΝ ΠΡΩΤΕΥΟΥΣΑ ΔΙΑΔΙΚΑΣΙΑ);Surgical;238;1726.69
X625005;"ΔΙΑΔΕΡΜΙΚΗ ΣΠΟΝΔΥΛΙΚΗ ΕΝΙΣΧΥΣΗ ΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΤΗΣ ΔΗΜΙΟΥΡΓΙΑΣ ΚΟΙΛΟΤΗΤΑΣ (ΑΝΑΤΑΞΗ ΚΑΤΑΓΜΑΤΟΣ ΚΑΙ ΒΙΟΨΙΑ ΟΣΤΟΥ ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΝΤΑΙ ΟΤΑΝ ΕΚΤΕΛΟΥΝΤΑΙ) ΜΕ ΤΗΝ ΧΡΗΣΗ ΣΥΣΚΕΥΗΣ, ΕΝΑ ΣΠΟΝΔΥΛΙΚΟ ΣΩΜΑ, ΕΤΕΡΟΠΛΕΥΡΗ Ή ΑΜΦΙΠΛΕΥΡΗ ΔΙΑΣΩΛΗΝΩΣΗ (Π.Χ., ΚΥΦΟΠΛΑΣΤΙΚΗ); ΘΩΡΑΚΙΚΗ";Diagnostic;59;1608.33
X625007;"ΔΙΑΔΕΡΜΙΚΗ ΣΠΟΝΔΥΛΙΚΗ ΕΝΙΣΧΥΣΗ ΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΤΗΣ ΔΗΜΙΟΥΡΓΙΑΣ ΚΟΙΛΟΤΗΤΑΣ (ΑΝΑΤΑΞΗ ΚΑΤΑΓΜΑΤΟΣ ΚΑΙ ΒΙΟΨΙΑ ΟΣΤΟΥ ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΝΤΑΙ ΟΤΑΝ ΕΚΤΕΛΟΥΝΤΑΙ) ΜΕ ΤΗΝ ΧΡΗΣΗ ΣΥΣΚΕΥΗΣ, ΕΝΑ ΣΠΟΝΔΥΛΙΚΟ ΣΩΜΑ, ΕΤΕΡΟΠΛΕΥΡΗ Ή ΑΜΦΙΠΛΕΥΡΗ ΔΙΑΣΩΛΗΝΩΣΗ (Π.Χ., ΚΥΦΟΠΛΑΣΤΙΚΗ); ΟΣΦΥΪΚΗ";Diagnostic;52;496.93
X625009;"ΔΙΑΔΕΡΜΙΚΗ ΣΠΟΝΔΥΛΙΚΗ ΕΝΙΣΧΥΣΗ ΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΤΗΣ ΔΗΜΙΟΥΡΓΙΑΣ ΚΟΙΛΟΤΗΤΑΣ (ΑΝΑΤΑΞΗ ΚΑΤΑΓΜΑΤΟΣ ΚΑΙ ΒΙΟΨΙΑ ΟΣΤΟΥ ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΝΤΑΙ ΟΤΑΝ ΕΚΤΕΛΟΥΝΤΑΙ) ΜΕ ΤΗΝ ΧΡΗΣΗ ΣΥΣΚΕΥΗΣ, ΕΝΑ ΣΠΟΝΔΥΛΙΚΟ ΣΩΜΑ, ΕΤΕΡΟΠΛΕΥΡΗ Ή ΑΜΦΙΠΛΕΥΡΗ ΔΙΑΣΩΛΗΝΩΣΗ (Π.Χ., ΚΥΦΟΠΛΑΣΤΙΚΗ); ΚΑΘΕ ΕΠΙΠΛΕΟΝ ΘΩΡΑΚΙΚΟ Ή ΟΣΦΥΪΚΟ ΣΠΟΝΔΥΛΙΚΟ ΣΩΜΑ (ΚΑΤΑΧΩΡΗΣΤΕ ΞΕΧΩΡΙΣΤΑ ΕΠΙΠΛΕΟΝ ΤΟΥ ΚΩΔΙΚΟΥ ΓΙΑ ΤΗΝ ΠΡΩΤΕΥΟΥΣΑ ΔΙΑΔΙΚΑΣΙΑ)";Diagnostic;60;252.39
X625011;ΔΙΑΔΕΡΜΙΚΗ ΗΛΕΚΤΡΟΘΕΡΜΙΚΗ ΠΥΡΗΝΟΠΛΑΣΤΙΚΗ, ΕΤΕΡΟΠΛΕΥΡΗ Ή ΑΜΦΙΠΛΕΥΡΗ, ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΤΗΣ ΑΚΤΙΝΟΛΟΓΙΚΗΣ ΚΑΘΟΔΗΓΗΣΗΣ. ΕΝΑ  ΕΠΙΠΕΔΟ;Surgical;210;1625.61
X625013;ΔΙΑΔΕΡΜΙΚΗ ΗΛΕΚΤΡΟΘΕΡΜΙΚΗ ΠΥΡΗΝΟΠΛΑΣΤΙΚΗ, ΕΤΕΡΟΠΛΕΥΡΗ Ή ΑΜΦΙΠΛΕΥΡΗ ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΑΚΤΙΝΟΛΟΓΙΚΗΣ ΚΑΘΟΔΗΓΗΣΗΣ. ΕΝΑ Ή ΠΕΡΙΣΣΟΤΕΡΑ ΕΠΙΠΛΕΟΝ ΕΠΙΠΕΔΑ (ΚΑΤΑΧΩΡΗΣΤΕ ΞΕΧΩΡΙΣΤΑ ΕΠΙΠΛΕΟΝ ΤΟΥ ΚΩΔΙΚΟΥ ΓΙΑ ΤΗΝ ΠΡΩΤΕΥΟΥΣΑ ΔΙΑΔΙΚΑΣΙΑ);Surgical;173;1553.08
X625023;ΑΡΘΡΟΔΕΣΗ ΠΛΑΓΙΑ ΕΞΩΤΟΙΧΩΜΑΤΙΚΗ, ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΕΛΑΧΙΣΤΗΣ  ΔΙΣΚΕΚΤΟΜΗΣ ΓΙΑ ΤΗΝ ΠΡΟΕΤΟΙΜΑΣΙΑ  ΜΕΣΟΔΙΑΣΤΗΜΑΤΟΣ (ΕΚΤΟΣ ΑΠΟΣΥΜΠΙΕΣΗΣ). ΘΩΡΑΚΙΚΗ;Surgical;79;376.25
X625025;ΑΡΘΡΟΔΕΣΗ, ΠΛΑΓΙΑ ΕΞΩΤΟΙΧΩΜΑΤΙΚΗ, ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΕΛΑΧΙΣΤΗΣ  ΔΙΣΚΕΚΤΟΜΗΣ ΓΙΑ ΤΗΝ ΠΡΟΕΤΟΙΜΑΣΙΑ  ΜΕΣΟΔΙΑΣΤΗΜΑΤΟΣ (ΕΚΤΟΣ ΑΠΟΣΥΜΠΙΕΣΗΣ). ΟΣΦΥΪΚΗ;Surgical;138;1201.77
X625027;ΑΡΘΡΟΔΕΣΗ, ΠΛΑΓΙΑ ΕΞΩΤΟΙΧΩΜΑΤΙΚΗ, ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΕΛΑΧΙΣΤΗΣ  ΔΙΣΚΕΚΤΟΜΗΣ ΓΙΑ ΤΗΝ ΠΡΟΕΤΟΙΜΑΣΙΑ ΜΕΣΟΔΙΑΣΤΗΜΑΤΟΣ (ΕΚΤΟΣ ΑΠΟΣΥΜΠΙΕΣΗΣ). ΘΩΡΑΚΙΚΟ Ή ΟΣΦΥΪΚΟ, ΚΑΘΕ ΕΠΙΠΡΟΣΘΕΤΟ ΣΠΟΝΔΥΛΙΚΟ ΤΜΗΜΑ (ΚΑΤΑΧΩΡΗΣΤΕ ΞΕΧΩΡΙΣΤΑ  ΕΠΙΠΛΕΟΝ ΤΟΥ ΚΩΔΙΚΟΥ ΓΙΑ ΠΡΩΤΕΥΟΥΣΑ ΔΙΑΔΙΚΑΣΙΑ);Surgical;167;940.41
X625055;ΑΡΘΡΟΔΕΣΗ, ΠΡΟΣΘΙΑ ΔΙΑΣΤΟΜΑΤΙΚΗ Ή ΕΞΩΣΤΟΜΑΤΙΚΗ ΤΕΧΝΙΚΗ, ΒΟΘΡΟΣ Α1-Α2 (ΑΤΛΑΣ-ΑΞΟΝΑΣ), ΜΕ Ή ΧΩΡΙΣ ΕΚΤΟΜΗ  ΟΔΟΝΤΟΕΙΔΟΥΣ ΑΠΟΦΥΣΗΣ;Surgical;229;928.87
X625067;ΑΡΘΡΟΔΕΣΗ ΠΡΟΣΘΙΑ ΜΕΣΟΣΠΟΝΔΥΛΙΑ, ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΕΛΑΧΙΣΤΗΣ ΔΙΣΚΕΚΤΟΜΗΣ ΓΙΑ ΤΗΝ ΠΡΟΕΤΟΙΜΑΣΙΑ ΜΕΣΟΔΙΑΣΤΗΜΑΤΟΣ (ΕΚΤΟΣ ΑΠΟΣΥΜΠΙΕΣΗΣ). ΑΥΧΕΝΙΚΗ ΚΑΤΩ ΑΠΟ ΤΟΝ Α2;Surgical;119;848.66
X625071;ΑΡΘΡΟΔΕΣΗΠΡΟΣΘΙΑ ΜΕΣΟΣΠΟΝΔΥΛΙΑ  , ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΕΛΑΧΙΣΤΗΣ  ΔΙΣΚΕΚΤΟΜΗΣ ΓΙΑ ΤΗΝ ΠΡΟΕΤΟΙΜΑΣΙΑ  ΜΕΣΟΔΙΑΣΤΗΜΑΤΟΣ (ΕΚΤΟΣ ΑΠΟΣΥΜΠΙΕΣΗΣ). ΘΩΡΑΚΙΚΗ;Surgical;102;1311.92
X625075;ΑΡΘΡΟΔΕΣΗΠΡΟΣΘΙΑ ΜΕΣΟΣΠΟΝΔΥΛΙΑ  , ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΕΛΑΧΙΣΤΗΣ  ΔΙΣΚΕΚΤΟΜΗΣ ΓΙΑ ΤΗΝ ΠΡΟΕΤΟΙΜΑΣΙΑ ΜΕΣΟΔΙΑΣΤΗΜΑΤΟΣ (ΕΚΤΟΣ ΑΠΟΣΥΜΠΙΕΣΗΣ). ΟΣΦΥΪΚΗ;Surgical;151;1516.94
X625129;ΑΡΘΡΟΔΕΣΗΠΡΟΣΘΙΑ ΜΕΣΟΣΠΟΝΔΥΛΙΑ  , ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΕΛΑΧΙΣΤΗΣ  ΔΙΣΚΕΚΤΟΜΗΣ ΓΙΑ ΤΗΝ ΠΡΟΕΤΟΙΜΑΣΙΑ  ΜΕΣΟΔΙΑΣΤΗΜΑΤΟΣ (ΕΚΤΟΣ ΑΠΟΣΥΜΠΙΕΣΗΣ). ΚΑΘΕ ΠΡΟΣΘΕΤΟ  ΜΕΣΟΔΙΑΣΤΗΜΑ (ΚΑΤΑΧΩΡΙΣΤΕ ΞΕΧΩΡΙΣΤΑ ΕΠΙΠΛΕΟΝ ΤΤΟΥ ΚΩΔΙΚΟΥ ΤΗΣ ΑΡΧΙΚΗΣ ΔΙΑΔΙΚΑΣΙΑΣ);Surgical;95;1285.92
X625139;ΑΡΘΡΟΔΕΣΗ, ΟΠΙΣΘΙΑ ΤΕΧΝΙΚΗ, ΚΡΑΝΙΟΑΥΧΕΝΙΚΗ (ΙΝΙΟ-Α2);Surgical;154;1365.62
X625149;ΑΡΘΡΟΔΕΣΗ, ΟΠΙΣΘΙΑ ΤΕΧΝΙΚΗ, ΚΡΑΝΙΟΑΥΧΕΝΙΚΗ, ΑΤΛΑΝΤΑΣ-ΑΞΟΝΑΣ (Α1-Α2);Surgical;150;1835.69
X625159;ΑΡΘΡΟΔΕΣΗ, ΟΠΙΣΘΙΑ Ή  ΟΠΙΣΘΙΟΠΛΑΓΙΑ ΤΕΧΝΙΚΗ, ΕΝΑ ΕΠΙΠΕΔΟ. ΑΥΧΕΝΙΚΟ, ΚΑΤΩ ΑΠΟ ΤΟ ΤΜΗΜΑ Α2;Surgical;206;736.34
X625179;ΑΡΘΡΟΔΕΣΗ, ΟΠΙΣΘΙΑ Ή  ΟΠΙΣΘΟΠΛΑΓΙΑ ΤΕΧΝΙΚΗ, ΕΝΑ  ΕΠΙΠΕΔΟ. ΘΩΡΑΚΙΚΟ (ΜΕ Ή ΧΩΡΙΣ  ΠΛΑΓΙΑ ΕΓΚΑΡΣΙΑ ΤΕΧΝΙΚΗ);Surgical;114;253.16
X625183;ΑΡΘΡΟΔΕΣΗ, ΟΠΙΣΘΙΑ Ή  ΟΠΙΣΘΟΠΛΑΓΙΑ ΤΕΧΝΙΚΗ, ΜΟΝΗΡΕΣ ΕΠΙΠΕΔΟ. ΟΣΦΥΪΚΟ (ΜΕ Ή ΧΩΡΙΣ ΠΛΑΓΙΑ ΕΓΚΑΡΣΙΑ ΤΕΧΝΙΚΗ);Surgical;171;260.71
X625187;ΑΡΘΡΟΔΕΣΗ, ΟΠΙΣΘΙΑ Ή  ΟΠΙΣΘΟΠΛΑΓΙΑ ΤΕΧΝΙΚΗ, ΜΟΝΗΡΕΣ ΕΠΙΠΕΔΟ. ΚΑΘΕ  ΠΡΟΣΘΕΤΟ ΣΠΟΝΔΥΛΙΚΟ ΤΜΗΜΑ (ΑΝΑΓΡΑΦΕΤΑΙ ΞΕΧΩΡΙΣΤΑ ΜΑΖΙ ΜΕ ΤΟΝ ΚΩΔΙΚΟ ΓΙΑ ΠΡΩΤΕΥΟΥΣΑ ΔΙΑΔΙΚΑΣΙΑ);Surgical;230;1218.48
X625219;ΑΡΘΡΟΔΕΣΗ, ΟΠΙΣΘΙΑ ΜΕΣΟΣΠΟΝΔΥΛΙΑ, ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΠΕΤΑΛΕΚΤΟΜΗΣ ΚΑΙ/Ή  ΔΙΣΚΕΚΤΟΜΗΣ ΓΙΑ ΤΗΝ ΠΡΟΕΤΟΙΜΑΣΙΑ  ΜΕΣΟΔΙΑΣΤΗΜΑΤΟΣ (ΕΚΤΟΣ ΑΠΟΣΥΜΠΙΕΣΗΣ). ΈΝΑ  ΜΕΣΟΔΙΑΣΤΗΜΑ. ΟΣΦΥΪΚΟ;Surgical;203;835.44
X625223;ΑΡΘΡΟΔΕΣΗ, ΟΠΙΣΘΙΑ ΜΕΣΟΣΠΟΝΔΥΛΙΑ, ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΠΕΤΑΛΕΚΤΟΜΗΣ ΚΑΙ/Ή  ΔΙΣΚΕΚΤΟΜΗΣ ΓΙΑ ΤΗΝ ΠΡΟΕΤΟΙΜΑΣΙΑ ΜΕΣΟΔΙΑΣΤΗΜΑΤΟΣ (ΕΚΤΟΣ ΑΠΟΣΥΜΠΙΕΣΗΣ). ΈΝΑ  ΜΕΣΟΔΙΑΣΤΗΜΑ. ΚΑΘΕ ΕΠΙΠΡΟΣΘΕΤΟ ΜΕΣΟ-ΔΙΑΣΤΗΜΑ (ΚΑΤΑΧΩΡΗΣΤΕ ΞΕΧΩΡΙΣΤΑ ΕΠΙΠΛΕΟΝ ΤΟΥ ΚΩΔΙΚΟΥΤΗΣ ΑΡΧΙΚΗΣ ΔΙΑΔΙΚΑΣΙΑΣ);Surgical;215;1514.09
X625559;ΑΡΘΡΟΔΕΣΗ, ΟΠΙΣΘΙΑ, ΓΙΑ ΣΠΟΝΔΥΛΙΚΗ ΠΑΡΑΜΟΡΦΩΣΗ, ΜΕ Ή ΧΩΡΙΣ ΝΑΡΘΗΚΑ. ΜΕΧΡΙ  6 ΣΠΟΝΔΥΛΙΚΑ ΤΜΗΜΑΤΑ;Surgical;84;1551.02
X625563;ΑΡΘΡΟΔΕΣΗ, ΟΠΙΣΘΙΑ, ΓΙΑ ΣΠΟΝΔΥΛΙΚΗ ΠΑΡΑΜΟΡΦΩΣΗ, ΜΕ Ή ΧΩΡΙΣ ΝΑΡΘΗΚΑ. 7 ΕΩΣ  12 ΣΠΟΝΔΥΛΙΚΑ ΤΜΗΜΑΤΑ;Surgical;144;834.93
X625567;ΑΡΘΡΟΔΕΣΗ, ΟΠΙΣΘΙΑ, ΓΙΑ ΣΠΟΝΔΥΛΙΚΗ ΠΑΡΑΜΟΡΦΩΣΗ, ΜΕ Ή ΧΩΡΙΣ ΝΑΡΘΗΚΑ. 13  Ή ΠΕΡΙΣΣΟΤΕΡΑ ΣΠΟΝΔΥΛΙΚΑ ΤΜΗΜΑΤΑ;Surgical;151;511.44
X625575;ΑΡΘΡΟΔΕΣΗ,ΠΡΟΣΘΙΑ, ΓΙΑ ΣΠΟΝΔΥΛΙΚΗ ΠΑΡΑΜΟΡΦΩΣΗ, ΜΕ Ή ΧΩΡΙΣ ΝΑΡΘΗΚΑ. 2 ΕΩΣ  3 ΣΠΟΝΔΥΛΙΚΑ ΤΜΗΜΑΤΑ;Surgical;138;1383.74
X625579;ΑΡΘΡΟΔΕΣΗ, ΠΡΟΣΘΙΑ, ΓΙΑ ΣΠΟΝΔΥΛΙΚΗ  ΠΑΡΑΜΟΡΦΩΣΗ, ΜΕ Ή ΧΩΡΙΣ ΝΑΡΘΗΚΑ. 4 ΕΩΣ  7 ΣΠΟΝΔΥΛΙΚΑ ΤΜΗΜΑΤΑ;Surgical;237;691.9
X625583;ΑΡΘΡΟΔΕΣΗ,ΠΡΟΣΘΙΑ, ΓΙΑ ΣΠΟΝΔΥΛΙΚΗ  ΠΑΡΑΜΟΡΦΩΣΗ, ΜΕ Ή ΧΩΡΙΣ ΝΑΡΘΗΚΑ. 8 Ή ΠΕΡΙΣΣΟΤΕΡΑ ΣΠΟΝΔΥΛΙΚΑ ΤΜΗΜΑΤΑ;Surgical;199;726.38
X625595;ΚΥΦΕΚΤΟΜΗ, ΠΕΡΙΜΕΤΡΙΚΗ  ΑΠΟΚΑΛΥΨΗ ΤΗΣ ΣΠΟΝΔΥΛΙΚΗΣ ΣΤΗΛΗΣ ΚΑΙ ΕΚΤΟΜΗ ΣΠΟΝΔΥΛΙΚΩΝ ΤΜΗΜΑΤΩΝ (ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΩΝ ΣΩΜΑΤΟΣ ΚΑΙ ΟΠΙΣΘΙΩΝ ΣΤΟΙΧΕΙΩΝ). ΕΝΑ Ή 2 ΤΜΗΜΑΤΑ;Surgical;116;727.55
X625597;ΚΥΦΕΚΤΟΜΗ, ΜΕΡΙΜΕΤΡΙΚΗ ΑΠΟΚΑΛΥΨΗ ΤΗΣ ΣΠΟΝΔΥΛΙΚΗΣ ΣΤΗΛΗΣ ΚΑΙ ΕΚΤΟΜΗ ΣΠΟΝΔΥΛΙΚΩΝ ΤΜΗΜΑΤΩΝ (ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΩΝ ΣΩΜΑΤΟΣ ΚΑΙ ΟΠΙΣΘΙΩΝ ΣΤΟΙΧΕΙΩΝ). 3 Ή ΠΕΡΙΣΣΟΤΕΡΑ ΤΜΗΜΑΤΑ;Surgical;160;1044.5
X625619;ΔΙΕΡΕΥΝΗΣΗ ΣΠΟΝΔΥΛΟΔΕΣΙΑΣ;Diagnostic;45;1502.4
X625639;ΟΠΙΣΘΙΑ ΜΗ-ΤΜΗΜΑΤΙΚΗ  ΣΠΟΝΔΥΛΟΔΕΣΙΑ  (Π.Χ., ΤΕΧΝΙΚΗ ΡΑΒΔΟΥ HARRINGTON,  ΔΙΑΥΧΕΝΙΚΗ ΣΠΟΝΔΥΛΟΔΕΣΙΑ  ΣΕ ΕΝΑ   ΕΠΙΠΕΔΟ, ΚΑΘΗΛΩΣΗ ΑΤΛΑΝΤΟΑΞΟΝΙΚΗΣ ΔΙΑΡΘΡΩΣΗΣ   ΜΕ ΒΙΔΕΣ, ΥΠΟΠΕΤΑΛΙΑ ΣΥΡΜΑΤΑ ΣΤΟΝ Α1, ΚΑΘΗΛΩΣΗ ΤΩΝ ΑΠΟΦΥΣΙΑΚΩΝ ΑΡΘΡΩΣΕΩΝ ΜΕ ΒΙΔΕΣ) (ΚΑΤΑΧΩΡΗΣΗ ΞΕΧΩΡΙΣΤΑ ΕΠΙΠΛΕΟΝ ΤΟΥ ΚΩΔΙΚΟΥ ΤΗΣ ΑΡΧΙΚΗΣ ΔΙΑΔΙΚΑΣΙΑΣ);Surgical;234;1682.01
X625641;ΕΣΩΤΕΡΙΚΗ ΣΠΟΝΔΥΛΟΔΕΣΙΑ  ΜΕ ΣΥΡΜΑΤΑ, ΔΙΑ ΤΩΝ ΑΚΑΝΘΩΔΩΝ ΑΠΟΦΥΣΕΩΝ (ΚΑΤΑΧΩΡΗΣΤΕ ΞΕΧΩΡΙΣΤΑ ΕΠΙΠΛΕΟΝ ΤΟΥ ΚΩΔΙΚΟΥ ΑΡΧΙΚΗΣ ΔΙΑΔΙΚΑΣΙΑΣ);Surgical;67;636.46
X625643;ΟΠΙΣΘΙΑ ΤΜΗΜΑΤΙΚΗ ΣΠΟΝΔΥΛΟΔΕΣΙΑ  (Π.Χ., ΔΙΑΥΧΕΝΙΚΗ, ΔΙΠΛΕΣ ΡΑΒΔΟΙ ΜΕ ΠΟΛΛΑΠΛΑ ΑΓΚΙΣΤΡΑ ΚΑΙ ΥΠΟΠΕΤΑΛΙΑ ΣΥΡΜΑΤΑ) 3 ΕΩΣ 6 ΣΠΟΝΔΥΛΙΚΑ ΤΜΗΜΑΤΑ (ΚΑΤΑΧΩΡΗΣΤΕ ΞΕΧΩΡΙΣΤΑ ΕΠΙΠΛΕΟΝ ΤΟΥ ΚΩΔΙΚΟΥ ΤΗΣ ΑΡΧΙΚΗΣ ΔΙΑΔΙΚΑΣΙΑΣ);Surgical;195;283.62
X625645;ΟΠΙΣΘΙΑ ΤΜΗΜΑΤΙΚΗ ΣΠΟΝΔΥΛΟΔΕΣΙΑ  (Π.Χ., ΔΙΑΥΧΕΝΙΚΗ, ΔΙΠΛΕΣ ΡΑΒΔΟΙ ΜΕ ΠΟΛΛΑΠΛΑ ΑΓΚΙΣΤΡΑ ΚΑΙ ΥΠΟΠΕΤΑΛΙΑ ΣΥΡΜΑΤΑ) 7 ΕΩΣ 12 ΣΠΟΝΔΥΛΙΚΑ ΤΜΗΜΑΤΑ (ΚΑΤΑΧΩΡΗΣΤΕ ΞΕΧΩΡΙΣΤΑ ΕΠΙΠΛΕΟΝ ΤΟΥ ΚΩΔΙΚΟΥ ΤΗΣ ΑΡΧΙΚΗΣ ΔΙΑΔΙΚΑΣΙΑΣ);Surgical;117;790.25
X625647;ΟΠΙΣΘΙΑ ΤΜΗΜΑΤΙΚΗ ΣΠΟΝΔΥΛΟΔΕΣΙΑ  (Π.Χ., ΔΙΑΥΧΕΝΙΚΗ, ΔΙΠΛΕΣ ΡΑΒΔΟΙ ΜΕ ΠΟΛΛΑΠΛΑ ΑΓΚΙΣΤΡΑ ΚΑΙ ΥΠΟΠΕΤΑΛΙΑ ΣΥΡΜΑΤΑ) 13 Ή ΠΕΡΙΣΣΟΤΕΡΑ ΣΠΟΝΔΥΛΙΚΑ  ΤΜΗΜΑΤΑ (ΚΑΤΑΧΩΡΗΣΤΕ ΞΕΧΩΡΙΣΤΑ ΕΠΙΠΛΕΟΝ ΤΟΥ ΚΩΔΙΚΟΥ ΤΗΣ ΑΡΧΙΚΗΣ ΔΙΑΔΙΚΑΣΙΑΣ);Surgical;82;468.66
X625649;ΠΡΟΣΘΙΑ ΣΠΟΝΔΥΛΟΔΕΣΙΑ . 2 ΕΩΣ 3 ΣΠΟΝΔΥΛΙΚΑ ΤΜΗΜΑΤΑ (ΚΑΤΑΧΩΡΗΣΤΕ ΞΕΧΩΡΙΣΤΑ ΕΠΙΠΛΕΟΝ ΤΟΥ ΚΩΔΙΚΟΥ ΑΡΧΙΚΗΣ ΔΙΑΔΙΚΑΣΙΑΣ);Surgical;170;1580.97
X625651;ΠΡΟΣΘΙΑ ΣΠΟΝΔΥΛΟΔΕΣΙΑ . 4 ΕΩΣ 7 ΣΠΟΝΔΥΛΙΚΑ ΤΜΗΜΑΤΑ (ΚΑΤΑΧΩΡΗΣΤΕ ΞΕΧΩΡΙΣΤΑ ΕΠΙΠΛΕΟΝ ΤΟΥ ΚΩΔΙΚΟΥ ΑΡΧΙΚΗΣ ΔΙΑΔΙΚΑΣΙΑΣ);Surgical;120;820.16
X625653;ΠΡΟΣΘΙΑ  ΣΠΟΝΔΥΛΟΔΕΣΙΑ . 8 Ή ΠΕΡΙΣΣΟΤΕΡΑ ΣΠΟΝΔΥΛΙΚΑ ΤΜΗΜΑΤΑ (ΚΑΤΑΧΩΡΗΣΤΕ ΞΕΧΩΡΙΣΤΑ ΕΠΙΠΛΕΟΝ ΤΟΥ ΚΩΔΙΚΟΥ ΑΡΧΙΚΗΣ ΔΙΑΔΙΚΑΣΙΑΣ);Surgical;94;462.04
X625655;ΠΥΕΛΙΚΗ ΚΑΘΗΛΩΣΗ ( ΣΥΝΔΕΣΗ ΤΟΥ  ΟΥΡΙΑΙΟΥ ΑΚΡΟΥ ΣΠΟΝΔΥΛΟΔΕΣΙΑΣ ΣΤΙΣ ΠΥΕΛΙΚΕΣ ΟΣΤΕΪΝΕΣ ΔΟΜΕΣ) ΕΚΤΟΣ ΤΟΥ ΙΕΡΟΥ ΟΣΤΟΥ (ΚΑΤΑΧΩΡΗΣΤΕ ΞΕΧΩΡΙΣΤΑ ΕΠΙΠΛΕΟΝ ΤΟΥ ΚΩΔΙΚΟΥ ΤΗΣ ΑΡΧΙΚΗΣ ΔΙΑΔΙΚΑΣΙΑΣ);Surgical;125;264.61
X625657;ΕΠΑΝΑΤΟΠΟΘΕΤΗΣΗ ΣΥΣΚΕΥΗΣ ΣΠΟΝΔΥΛΙΚΗΣ ΚΑΘΗΛΩΣΗΣ;Surgical;195;281.81
X625659;ΑΦΑΙΡΕΣΗ ΟΠΙΣΘΙΑΣ ΜΗ-ΤΜΗΜΑΤΙΚΗΣ  ΣΠΟΝΔΥΛΟΔΕΣΙΑΣ (Π.Χ., ΤΕΧΝΙΚΗ ΡΑΒΔΟΥ HARRINGTON);Surgical;99;1423.37
