medicine_name,substance_name
Benzylpenicillin-Natrium Noridem,Benzylpenicillin
Benzylpenicillin-Natrium Noridem,Benzylpenicillin Sodium
Benzylpenicillinnatrium Sandoz,Benzylpenicillin
Benzylpenicillinnatrium Sandoz,Benzylpenicillin Sodium
Beofenac,Aceclofenac
Beotebal,Biotin
Beovu,Brolucizumab
Bepamedin,Dexpanthenol
Bepandex,Chlorhexidine Gluconate
Bepanmed,Dexpanthenol
Bepanthen,Dexpanthenol
Bepanthen Wund- Und Heilsalbe,Dexpanthenol
Bepanthene,Dexpanthenol
Berberil N,Tetryzoline Hydrochloride
Berberil N Edo,Tetryzoline Hydrochloride
Berberil® Dry Eye Augentropfen,Hypromellose
Berberil® Dry Eye Edo®,Hypromellose
Berberis Homöopathisches Arzneimittel,Berberis Vulgaris Dil. D2
Berbira,Dimethyl Fumarate
Bergal Sr,Galantamine
Bergamol,Buspirone Hydrochloride
Beriate,Human Coagulation Factor Viii
Bericox,Etoricoxib
Beriglobin,Human Normal Immunoglobulin
Berinert,C1 Esterase Inhibitor (Human)
Berinert Iv,C1 Esterase Inhibitor (Human)
Berinert Sc,C1 Esterase Inhibitor (Human)
Berirab,Human Rabies Immunoglobulin
Berirab P,Human Rabies Immunoglobulin
Berlex,Rabeprazole Sodium
Berlind Retard,Indometacin
Berlinsulin H Basal Pen,Insulin Human
Berlinsulin H Normal Pen,Insulin Human
Berlinsulin® H 30/70 Pen,Insulin Human
Berlipril,Enalapril Maleate
Berlithion,Ethylenediamine Thioctate
Berlithion,Thioctic Acid
Berlithion 300 Ed,Thioctic Acid
Berlosin,Metamizole Sodium Monohydrate
Bermoxel,Praziquantel
Berny Adulti,Fosfomycin Trometamol
Beromun,Tasonermin
Berotec Dosieraerosol,Fenoterol Hydrobromide
Berotec N,Fenoterol Hydrobromide
Berotec N 100,Fenoterol Hydrobromide
Berotec N Dosier-Aerosol,Fenoterol Hydrobromide
Berozol,Pantoprazole
Bertanel,Methotrexate
Bertanel,Methotrexate Disodium
Bertocil,Betaxolol Hydrochloride
Bertolix,Benzydamine Hydrochloride
Beruhigungs Tee,Hypericum Perforatum
Beruhigungs Tee Mit Lavendelblüten Für Erwachsene Und Heranwachsende Ab 12 Jahren,Lavandulae Flos
Beruhigungstee,Passiflorae Herba
Beryx,Rabeprazole Sodium
Besartan,Irbesartan
Besavar Xl,Alfuzosin Hydrochloride
Bescil,Isoconazole Nitrate
Besilato De Atracurio Basi,Atracurium Besilate
Besilato De Atracurio Hameln,Atracurium Besilate
Besilato De Atracúrio Hikma,Atracurium Besilate
Besilato De Atracúrio Isab Laboratórios Basi - Indústria Farmacêutica,Atracurium Besilate
Besilato De Atracurio Kalceks,Atracurium Besilate
Besitran,Sertraline
Bespar,Buspirone Hydrochloride
Besponsa,Inotuzumab Ozogamicin
Bespres,Valsartan
Besremi,Ropeginterferon Alfa-2b
Best,Crystalline Glucosamine Sulfate
Beta 21,Betamethasone 17-Valerate 21-Acetate
Beta Karoten Amara,Betacarotene
Betablockade 100 Mg,Metoprolol Tartrate
Betablockade 50 Mg,Metoprolol Tartrate
Betac,Betaxolol
Betac,Betaxolol Hydrochloride
Betacap Scalp Application,Betamethasone
Beta-Cardone,Sotalol
Beta-Cardone,Sotalol Hydrochloride
Betaderm,Betamethasone Valerate
Betadorm-D,Diphenhydramine Hydrochloride
Betafact,Human Coagulation Factor Ix
Betaferon,Recombinant Interferon Beta-1b
Betagalen,Betamethasone Valerate (Ph. Eur.)
Betagalen Lotion,Betamethasone Valerate (Ph. Eur.)
Betagan,Levobunolol Hydrochloride
Betagen,Betahistine Dihydrochloride
Betahistin 2care4,Betahistine Dihydrochloride
Betahistin 2care4,Betahistine Hydrochloride
Betahistin Accord,Betahistine Dihydrochloride
Betahistin Actavis,Betahistine Dihydrochloride
Betahistin Al,Betahistine Dihydrochloride
Betahistin Al,Betahistine Mesilate
Betahistin Mylan,Betahistine Dihydrochloride
Betahistin Orifarm Generics,Betahistine Dihydrochloride
Betahistin Ratiopharm,Betahistine Dihydrochloride
Betahistin Ratiopharm,Betahistine Mesilate
Betahistin Rivopharm,Betahistine Dihydrochloride
Betahistin Stada,Betahistine Dihydrochloride
Betahistin Stada,Betahistine Mesilate
Betahistin Viatris,Betahistine Dihydrochloride
Betahistin Viatris,Betahistine Hydrochloride
Betahistina Accord,Betahistine Dihydrochloride
Betahistină Atb,Betahistine Dihydrochloride
Beta-Histina Aurobindo,Betahistine Dihydrochloride
Betahistina Aurovitas,Betahistine Dihydrochloride
Beta-Histina Aurovitas,Betahistine Dihydrochloride
Betahistina Bluefish,Betahistine Dihydrochloride
Beta-Histina Bluefish,Betahistine Dihydrochloride
Beta-Histina Bluepharma,Betahistine Hydrochloride
Beta-Histina Bluesar,Betahistine Hydrochloride
Beta-Histina Ciclum Farma,Betahistine Dihydrochloride
Betahistina Cinfa,Betahistine Dihydrochloride
Beta-Histina Farmoz,Betahistine Dihydrochloride
Betahistină Gemax Pharma,Betahistine Dihydrochloride
Beta-Histina Generis,Betahistine Dihydrochloride
Beta-Histina Generis Phar,Betahistine Dihydrochloride
Beta-Histina Gp,Betahistine Dihydrochloride
Betahistina Kern Pharma,Betahistine Dihydrochloride
Betahistină Lph Labormed,Betahistine Dihydrochloride
Betahistină Mcc,Betahistine Dihydrochloride
Beta-Histina Mylan,Betahistine
Beta-Histina Neogen,Betahistine Dihydrochloride
Betahistina Normon,Betahistine Dihydrochloride
Beta-Histina Pentafarma,Betahistine Dihydrochloride
Beta-Histina Pharmakern,Betahistine Dihydrochloride
Beta-Histina Pharmakern,Betahistine Hydrochloride
Beta-Histina Premier,Betahistine Dihydrochloride
Betahistina Qualigen,Betahistine Dihydrochloride
Beta-Histina Ratiopharm,Betahistine Dihydrochloride
Beta-Histina Sandoz,Betahistine Dihydrochloride
Betahistina Stada,Betahistine Dihydrochloride
Betahistina Stadagen,Betahistine Dihydrochloride
Betahistina Tarbis,Betahistine Dihydrochloride
Betahistina Tecnigen,Betahistine Dihydrochloride
Beta-Histina Zentiva,Betahistine Dihydrochloride
Betahistindihydrochlorid Hennig,Betahistine Dihydrochloride
Betahistine,Betahistine Dihydrochloride
Betahistine 2hcl Accord,Betahistine Dihydrochloride
Betahistine 2hcl Adoh,Betahistine Dihydrochloride
Betahistine 2hcl Doc Generici,Betahistine Dihydrochloride
Betahistine 2hcl Genrx,Betahistine Dihydrochloride
Betahistine Accord,Betahistine Dihydrochloride
Betahistine Actavis,Betahistine Dihydrochloride
Betahistine Amarox,Betahistine Dihydrochloride
Betahistine Arrow,Betahistine Dihydrochloride
Betahistine Arrow Generiques,Betahistine Dihydrochloride
Betahistine Aurobindo,Betahistine Dihydrochloride
Betahistine Aurobindo Pharma (Malta),Betahistine Dihydrochloride
Betahistine Biogaran,Betahistine Dihydrochloride
Betahistine Cristers,Betahistine Dihydrochloride
Betahistine Dihcl Teva,Betahistine Dihydrochloride
Betahistine Dihcl Viatris,Betahistine Hydrochloride
Betahistine Dihydrochloride,Betahistine Dihydrochloride
Betahistine Dihydrochloride Accord,Betahistine Dihydrochloride
Betahistine Dihydrochloride Accord Healthcare,Betahistine Dihydrochloride
Betahistine Dihydrochloride Accord Healthcare Ireland,Betahistine Dihydrochloride
Betahistine Dihydrochloride Activase Pharmaceutical,Betahistine Dihydrochloride
Betahistine Dihydrochloride Amarox Limited,Betahistine Dihydrochloride
Betahistine Dihydrochloride Aurobindo,Betahistine Dihydrochloride
Betahistine Dihydrochloride Azure Pharmaceuticals,Betahistine Dihydrochloride
Betahistine Dihydrochloride Biovantic Pharma,Betahistine Dihydrochloride
Betahistine Dihydrochloride Bristol Laboratories,Betahistine Dihydrochloride
Betahistine Dihydrochloride Dawa,Betahistine Dihydrochloride
Betahistine Dihydrochloride Flamingo Pharma (Uk),Betahistine Dihydrochloride
Betahistine Dihydrochloride Generics Uk,Betahistine Dihydrochloride
Betahistine Dihydrochloride Kent Pharmaceuticals,Betahistine Dihydrochloride
Betahistine Dihydrochloride Manx Healthcare,Betahistine Dihydrochloride
Betahistine Dihydrochloride Morningside Healthcare,Betahistine Dihydrochloride
Betahistine Dihydrochloride Ratiopharm,Betahistine Dihydrochloride
Betahistine Dihydrochloride Stada,Betahistine Dihydrochloride
Betahistine Dihydrochloride Tillomed Laboratories,Betahistine Dihydrochloride
Betahistine Eg,Betahistine Dihydrochloride
Betahistine Eg Labo,Betahistine Dihydrochloride
Betahistine Eurogenerics,Betahistine Dihydrochloride
Betahistine Ingen Pharma,Betahistine Dihydrochloride
Betahistine Medigate,Betahistine Dihydrochloride
Betahistine Medreg,Betahistine Dihydrochloride
Betahistine Milpharm,Betahistine Dihydrochloride
Betahistine Sandoz,Betahistine
Betahistine Sandoz,Betahistine Dihydrochloride
Betahistine Stada,Betahistine Dihydrochloride
Betahistine Teva,Betahistine Dihydrochloride
Betahistine Viatris,Betahistine Dihydrochloride
Betahistine Viatris,Betahistine Hydrochloride
Betahistine Zentiva,Betahistine Dihydrochloride
Betahistine Zydus France,Betahistine Dihydrochloride
Betahistinhydrochlorid Stada,Betahistine Dihydrochloride
Betahistyna Bluefish,Betahistine Dihydrochloride
Betahsitine Actavis,Betahistine Dihydrochloride
Betaistina Accord,Betahistine Dihydrochloride
Betaistina Aurobindo,Betahistine Dihydrochloride
Betaistina Doc,Betahistine Dihydrochloride
Betaistina Doc Generici,Betahistine Dihydrochloride
Betaistina Eg,Betahistine Dihydrochloride
Betaistina Eg Stada,Betahistine Dihydrochloride
Betalane,Betahistine Dihydrochloride
Betaloc,Metoprolol
Betaloc,Metoprolol Tartrate
Betaloc I.V,Metoprolol Tartrate Ph. Eur.
Betaloc Sr,Metoprolol Tartrate
Betaloc Zok,Metoprolol Succinate
Betaloc Zok,Metoprolol Tartrate
Betamaks,Sulpiride
Betamed,Betaxolol Hydrochloride
Betamesol,Betamethasone Dipropionate
Betametason Evolan,Betamethasone
Betametasona Basi,Betamethasone
Betametasona Sonphar,Betamethasone
Betametasone Dipropionato Sandoz,Betamethasone Dipropionate
Betametasone Doc,Betamethasone Sodium Phosphate
Betametasone Doc Generici,Betamethasone Sodium Phosphate
Betametasone Eg,Betamethasone
Betametasone Eg,Betamethasone Sodium Phosphate
Betametasone Eg Stada,Betamethasone Sodium Phosphate
Betametasone L.F.M.,Betamethasone Sodium Phosphate
Betametasone Zentiva,Betamethasone
Betametazonă Fiterman,Betamethasone Dipropionate
Betamethason Teva,Betamethasone
Betamethason Xiromed,Betamethasone Valerate
Betamethasone Arrow,Betamethasone
Betamethasone Basi,Betamethasone Sodium Phosphate
Betamethasone Biogaran,Betamethasone
Betamethasone Biogaran,Betamethasone Dipropionate
Betamethasone Dawa,Betamethasone
Betamethasone Eg,Betamethasone
Betamethasone Grindeks,Betamethasone
Betamethasone Jgl,Betamethasone Dipropionate
Betamethasone Manx Healthcare,Betamethasone
Betamethasone Martindale Pharmaceuticals,Betamethasone Sodium Phosphate
Betamethasone Morningside Healthcare,Betamethasone
Betamethasone Morningside Healthcare,Betamethasone Sodium Phosphate
Betamethasone Roma Pharmaceuticals,Betamethasone
Betamethasone Rph Pharmaceuticals,Betamethasone Sodium Phosphate
Betamethasone Valerate Accord Healthcare,Betamethasone
Betamethasone Valerate Accord-Uk,Betamethasone
Betamethasone Valerate Manx Healthcare,Betamethasone Bp
Betamethasone Valerate Tillomed Laboratories,Betamethasone Valerate Bp
Betamethasone Zentiva,Betamethasone
Betamican,Salmeterol
Betamican Accuhaler,Salmeterol
Betamine,Thiamine Hydrochloride
Betanil Forte,Betahistine Dihydrochloride
Betapred,Betamethasone
Betapred,Betamethasone Sodium Phosphate
Beta-Prograne,Propranolol Hydrochloride
Betaprol,Metoprolol Tartrate
Betarevin,Betahistine Dihydrochloride
Betaserc,Betahistine Dihydrochloride
Betaserc Odis,Betahistine Dihydrochloride
Betaserc Odt,Betahistine Dihydrochloride
Betasporina,Ceftriaxone
Betasporina Im,Ceftriaxone
Betasporina Iv,Ceftriaxone
Beta-Synto,Betahistine Dihydrochloride
Betatape,Betamethasone Valerate
Betavert,Betahistine Dihydrochloride
Betavert,Betahistine Mesilate
Betavert N,Betahistine Dihydrochloride
Betaxolol Biogaran,Betaxolol Hydrochloride
Betaxolol Eg,Betaxolol Hydrochloride
Betaxolol Gemax Pharma,Betaxolol Hydrochloride
Betaxolol Medreg,Betaxolol Hydrochloride
Betaxolol Pmcs,Betaxolol Hydrochloride
Betaxolol Sandoz,Betaxolol Hydrochloride
Betaxolol Teva,Betaxolol Hydrochloride
Betaxolol Teva Sante,Betaxolol Hydrochloride
Betaxolol Viatris,Betaxolol Hydrochloride
Betaxomyl,Betaxolol Hydrochloride
Betazon,Betamethasone Dipropionate
Betesda,Escitalopram Oxalate
Betesil,Betamethasone Valerate
Betiral,Aceclofenac
Betmiga,Mirabegron
Betnelan,Betamethasone Valerate
Betnelan V,Betamethasone
Betnesol,Betamethasone
Betnesol,Betamethasone Sodium Phosphate
Betnesol,Betamethasone Sodium Phosphate Ph. Eur
Betnesol Lavement,Betamethasone
Betnesol-V,Betamethasone Valerate
Betnesol-V Crinale,Betamethasone Valerate
Betnesol-V Lotio,Betamethasone Valerate
Betneval,Betamethasone
Betneval Lotion,Betamethasone Valerate
Betnovat,Betamethasone
Betnovat Scalp,Betamethasone
Betnovate,Betamethasone
Betnovate,Betamethasone Valerate
Betnovate - Crinale,Betamethasone
Betnovate Capilar,Betamethasone Valerate
Betnovate Crema,Betamethasone Valerate
Betnovate Rd,Betamethasone
Betnovate Scalp Application,Betamethasone
Betnovate Solución Cutánea,Betamethasone Valerate
Beto 100 Zk,Metoprolol Succinate
Beto 150 Zk,Metoprolol Succinate
Beto 200 Zk,Metoprolol Succinate
Beto 25 Zk,Metoprolol Succinate
Beto 50 Zk,Metoprolol Succinate
Betolvan,Cyanocobalamin
Betolvex,Cyanocobalamin
Betolvidon,Cyanocobalamin
Betoptic,Betaxolol
Betoptic,Betaxolol Hydrochloride
Betoptic S,Betaxolol
Betoptic S,Betaxolol Hydrochloride
Betoptima,Betaxolol Hydrochloride
Betrion,Mupirocin
Bettamousse,Betamethasone
Bevart,Betahistine Dihydrochloride
Bevimlar,Rivaroxaban
Bevione,Thiamine Hydrochloride
Bevitan,Cyanocobalamin
Bevitine,Thiamine Hydrochloride
Bevostatin,Simvastatin
Bewim,Prasugrel
Bexagia,Bexarotene
Bexaroten Cipla,Bexarotene
Bexarotene,Bexarotene
Bexarotene Amdipharm,Bexarotene
Bexarotene Cipla,Bexarotene
Bexarotene Genus Pharmaceuticals Ltd.,Bexarotene
Bexaroteno Cipla,Bexarotene
Bexidermil,Trolamine Salicylate
Beyfortus,Nirsevimab
Beyonttra,Acoramidis
Bezafibrat Al,Bezafibrate
Bezafibrat Arena,Bezafibrate
Bezafibrat Retard Al,Bezafibrate
Bezafibrat Stada,Bezafibrate
Bezafibrate,Bezafibrate
Bezafibrate Crescent,Bezafibrate
Bezafibrate Noumed Life Sciences,Bezafibrate
Bezafibrate Teva,Bezafibrate
Bezalip,Bezafibrate
Bezalip Retard,Bezafibrate
Bezanin,Azithromycin
Bezastad,Bezafibrate
Bglau,Brimonidine Tartrate
Bi Profenid Lp,Ketoprofen
Bi Tildiem L.P.,Diltiazem Hydrochloride
Biafine,Trolamine
Biafineact,Trolamine
Bialcol Med,Benzoxonium Chloride
Bialfoli,Folic Acid
Bialminal,Phenobarbital
Bialviz,Bimatoprost
Bialzepam,Diazepam
Bialzepam 6,Diazepam
Bialzepam Retard,Diazepam
Biartril,Glucosamine Sulfate
Biazol,Bifonazole
Bibloc,Bisoprolol Fumarate
Bibovel,Ivermectin
Bibrocathol Pos,Bibrocathol
Bibrocathol-Pos,Bibrocathol
Bibrocatol Ursapharm,Bibrocathol
Bicadex,Bicalutamide
Bicafres,Sodium Hydrogen Carbonate
Bicagelan,Bicalutamide
Bicain Pond Spinal,Bupivacaine Hydrochloride
Bicain Spinal,Bupivacaine Hydrochloride
Bicaluplex,Bicalutamide
Bicalustad,Bicalutamide
Bicalut,Bicalutamide
Bicalutamid,Bicalutamide
Bicalutamid +pharma,Bicalutamide
Bicalutamid 1 A Pharma,Bicalutamide
Bicalutamid Abz,Bicalutamide
Bicalutamid Accord,Bicalutamide
Bicalutamid Actavis,Bicalutamide
Bicalutamid Al,Bicalutamide
Bicalutamid Aristo,Bicalutamide
Bicalutamid Biomo,Bicalutamide
Bicalutamid Bluefish,Bicalutamide
Bicalutamid Fair-Med,Bicalutamide
Bicalutamid G.L.,Bicalutamide
Bicalutamid Genericon,Bicalutamide
Bicalutamid Heumann,Bicalutamide
Bicalutamid Medac,Bicalutamide
Bicalutamid Medical,Bicalutamide
Bicalutamid Orion,Bicalutamide
Bicalutamid Puren,Bicalutamide
Bicalutamid Ratiopharm,Bicalutamide
Bicalutamid Sandoz,Bicalutamide
Bicalutamid Stada,Bicalutamide
Bicalutamid Tecnimede,Bicalutamide
Bicalutamid Teva,Bicalutamide
Bicalutamid Uropharm,Bicalutamide
Bicalutamid Winthrop,Bicalutamide
Bicalutamida Accord,Bicalutamide
Bicalutamida Almus,Bicalutamide
Bicalutamida Aurobindo,Bicalutamide
Bicalutamida Aurovitas,Bicalutamide
Bicalutamida Aurovitas Spain,Bicalutamide
Bicalutamida Bluefish,Bicalutamide
Bicalutamida Cinfa,Bicalutamide
Bicalutamida Combix,Bicalutamide
Bicalutamida Fair-Med,Bicalutamide
Bicalutamida Farmoz,Bicalutamide
Bicalutamida Generis,Bicalutamide
Bicalutamida Kern Pharma,Bicalutamide
Bicalutamidă Labormed,Bicalutamide
Bicalutamida Mabo,Bicalutamide
Bicalutamida Normogen,Bicalutamide
Bicalutamida Pensa,Bicalutamide
Bicalutamida Pharmacare,Bicalutamide
Bicalutamida Sandoz,Bicalutamide
Bicalutamida Stada,Bicalutamide
Bicalutamida Tecnimede,Bicalutamide
Bicalutamida Teva,Bicalutamide
Bicalutamida Teva-Ratiopharm,Bicalutamide
Bicalutamide Accord,Bicalutamide
Bicalutamide Accord Healthcare,Bicalutamide
Bicalutamide Ahcl,Bicalutamide
Bicalutamide Almus,Bicalutamide
Bicalutamide Alvogen,Bicalutamide
Bicalutamide Arrow,Bicalutamide
Bicalutamide Arrow Lab,Bicalutamide
Bicalutamide Aurobindo,Bicalutamide
Bicalutamide Aurobindo Italia,Bicalutamide
Bicalutamide Biogaran,Bicalutamide
Bicalutamide Bluefish,Bicalutamide
Bicalutamide Bluefish Pharmaceuticals,Bicalutamide
Bicalutamide Bristol Laboratories,Bicalutamide
Bicalutamide Cadila Pharmaceuticals (Europe),Bicalutamide
Bicalutamide Crescent Pharma,Bicalutamide
Bicalutamide Cristers Pharma,Bicalutamide
Bicalutamide Doc Generici,Bicalutamide
Bicalutamide Eg,Bicalutamide
Bicalutamide Eg Stada,Bicalutamide
Bicalutamide Eugia,Bicalutamide
Bicalutamide Evolugen,Bicalutamide
Bicalutamide Fair-Med,Bicalutamide
Bicalutamide Ibigen,Bicalutamide
Bicalutamide Morningside Healthcare,Bicalutamide
Bicalutamide Orion,Bicalutamide
Bicalutamide Pch,Bicalutamide
Bicalutamide Pharmacare,Bicalutamide
Bicalutamide Pharmacenter,Bicalutamide
Bicalutamide Pharmevid,Bicalutamide
Bicalutamide Rafarm,Bicalutamide
Bicalutamide Ratiopharm,Bicalutamide
Bicalutamide Relonchem,Bicalutamide
Bicalutamide Sandoz,Bicalutamide
Bicalutamide Sandoz B.V.,Bicalutamide
Bicalutamide Sun,Bicalutamide
Bicalutamide Sun Pharmaceutical Industries Europe,Bicalutamide
Bicalutamide Tecnigen,Bicalutamide
Bicalutamide Teva,Bicalutamide
Bicalutamide Torrent Pharma (Uk),Bicalutamide
Bicalutamide Viatris,Bicalutamide
Bicalutamide Zentiva,Bicalutamide
Bicalutamide Zydus,Bicalutamide
Bicalutanorm,Bicalutamide
Bicalutin,Bicalutamide
Bicamide,Bicalutamide
Bicanorm,Sodium Hydrogen Carbonate
Bicaprox,Bicalutamide
Bicarbonat De Sodiu B. Braun Melsungen,Sodium Hydrogen Carbonate
Bicarbonate De Sodium B. Braun,Sodium Hydrogen Carbonate
Bicarbonate De Sodium Biosedra,Sodium Hydrogen Carbonate
Bicarbonate De Sodium Cooper,Sodium Hydrogen Carbonate
Bicarbonate De Sodium Lavoisier,Sodium Hydrogen Carbonate
Bicarbonate De Sodium Renaudin,Sodium Hydrogen Carbonate
Bicarbonate De Sodium Viaflo Baxter,Sodium Hydrogen Carbonate
Bicarbonato,Sodium Hydrogen Carbonate
Bicarbonato De Sódio 1.6% Labesfal,Sodium Hydrogen Carbonate
Bicarbonato De Sódio 4% Labesfal,Sodium Hydrogen Carbonate
Bicarbonato De Sódio Braun,Sodium Hydrogen Carbonate
Bicarbonato De Sódio Cooper,Sodium Hydrogen Carbonate
Bicarbonato De Sódio Labesfal,Sodium Hydrogen Carbonate
Bicarbonato De Sosa Torres Muñoz,Sodium Hydrogen Carbonate
Bicarbonato Sódico Grifols,Sodium Hydrogen Carbonate
Bicarbonato Sodico Mein,Sodium Hydrogen Carbonate
Bicardef,Bisoprolol Fumarate
Bi-Carzem Sr,Diltiazem Hydrochloride
Bicasan,Dextromethorphan Hydrobromide
Bicastad,Bicalutamide
Bicavan,Bicalutamide
Biclar,Clarithromycin
Biclar Forte,Clarithromycin
Biclar I.V.,Clarithromycin
Biclar Kids,Clarithromycin
Biclar Uno,Clarithromycin
Bicnu,Carmustine
Bicol,Carvedilol
Bicoret,Etoricoxib
Bidex,Sodium Hydrogen Carbonate
Bidiclin,Beclometasone Dipropionate
Bidiclin,Beclometasone Dipropionate Anhydrous
Bidien,Budesonide
Bifiteral,Lactulose
Bifiteral Mit Pflaumenaroma,Lactulose
Bifized,Apixaban
Bifoglan,Empagliflozin
Bifon,Bifonazole
Bifonazol Aristo,Bifonazole
Bifonazol Farmoz,Bifonazole
Bifonazole Gerda,Bifonazole
Bifonazole Substipharm,Bifonazole
Bifril,Zofenopril Calcium
Biger,Atorvastatin Calcium
Bigetra,Dabigatran Etexilate
Bigger,Atorvastatin Calcium
Bijotebal,Biotin
Bikader,Bicalutamide
Bikalard,Bicalutamide
Bikalen,Bicalutamide
Bikalis,Bicalutamide
Bikalm,Zolpidem Tartrate
Bikalutamid Accord,Bicalutamide
Bikalutamid Jgl,Bicalutamide
Bikalutamid Lek,Bicalutamide
Bikalutamid Synthon,Bicalutamide
Bikalutamid Teva,Bicalutamide
Biklin,Amikacin
Bilabella,Bilastine
Bilacina,Bilastine
Bilador,Bilastine
Bilagra,Bilastine
Bilagra Oro,Bilastine
Bilamax Flas,Bilastine
Bilancyn Verdauungskapseln,Artichoke Leaf Dry Extract
Bilant,Bilastine
Bilant Control,Bilastine
Bilargen,Bilastine
Bilargena,Bilastine
Bilaska,Bilastine
Bilastin,Bilastine Monohydrate
Bilastin Adgc,Bilastine
Bilastin Amarox,Bilastine
Bilastin Heumann,Bilastine
Bilastin Hexal,Bilastine
Bilastin Puren,Bilastine
Bilastin Stada,Bilastine
Bilastin Stada,Bilastine Monohydrate
Bilastin Teva,Bilastine
Bilastin Tiefenbacher,Bilastine
Bilastin Urquima,Bilastine Monohydrate
Bilastin Viatris,Bilastine Monohydrate
Bilastina Allerzin Generis Farmacêutica,Bilastine
Bilastina Alter,Bilastine
Bilastina Alterpharma,Bilastine
Bilastina Amarox,Bilastine
Bilastina Aristo,Bilastine
Bilastina Aurobindo,Bilastine
Bilastina Aurovitas,Bilastine
Bilastina Azevedos,Bilastine
Bilastina Bluepharma,Bilastine
Bilastina Ciclum,Bilastine Monohydrate
Bilastina Cinfa,Bilastine
Bilastina Combix,Bilastine
Bilastina Doc,Bilastine
Bilastina Eg Spa,Bilastine Monohydrate
Bilastina Farmoz,Bilastine
Bilastina Flas Combix,Bilastine
Bilastină Gemax Pharma,Bilastine
Bilastina Generis,Bilastine
Bilastina Kern Pharma,Bilastine
Bilastina Medreg,Bilastine
Bilastina Msn,Bilastine
Bilastina Mylan,Bilastine
Bilastina Mylan Generics,Bilastine
Bilastina Normon,Bilastine
Bilastina Noucor,Bilastine Monohydrate
Bilastina Pensa,Bilastine
Bilastina Pharmakern,Bilastine
Bilastina Sandoz,Bilastine
Bilastina Sandoz Care,Bilastine
Bilastina Stada,Bilastine
Bilastina Stada,Bilastine Monohydrate
Bilastina Tarbis,Bilastine
Bilastina Tecnigen,Bilastine
Bilastina Teva,Bilastine
Bilastina Tevagen,Bilastine
Bilastina Tolife,Bilastine
Bilastina Urquima,Bilastine Monohydrate
Bilastina Verum Pharma,Bilastine Monohydrate
Bilastina Viatris,Bilastine
Bilastina Viso Farmacéutica,Bilastine
Bilastina Vivanta,Bilastine
Bilastina Zentiva,Bilastine
Bilastine Ab,Bilastine
Bilastine Alfred E. Tiefenbacher,Bilastine
Bilastine Arrow,Bilastine
Bilastine Biogaran,Bilastine
Bilastine Dr. Max,Bilastine
Bilastine Eg,Bilastine
Bilastine Eg Labo,Bilastine Monohydrate
Bilastine Eurogenerics,Bilastine
Bilastine Eurogenerics,Bilastine Monohydrate
Bilastine Glenmark,Bilastine
Bilastine La Colina,Bilastine
Bilastine Medreg,Bilastine
Bilastine Medreich,Bilastine
Bilastine Milpharm,Bilastine
Bilastine Msn,Bilastine
Bilastine Polpharma,Bilastine
Bilastine Sandoz,Bilastine
Bilastine Stada,Bilastine
Bilastine Stada,Bilastine Monohydrate
Bilastine Supremex,Bilastine
Bilastine Teva,Bilastine
Bilastine Tiefenbacher,Bilastine
Bilastine Viatris,Bilastine
Bilastine Viatris,Bilastine Monohydrate
Bilastine Viatris Sante,Bilastine
Bilastine Zentiva,Bilastine
Bilastine Zydus,Bilastine
Bilastyna Amertil,Bilastine
Bilastyna Hitaxa,Bilastine
Bilastyna Hitaxa Junior,Bilastine
Bilastyna Nasometin,Bilastine
Bilata,Bilastine
Bilatec,Bilastine
Bilaxten,Bilastine
Bilaxten Flas,Bilastine
Bilaz,Bilastine
Bildyos,Denosumab
Bilegra,Bilastine
Bilergin,Bilastine
Bilhista,Bilastine
Bilina,Levocabastine
Biloban,Ginkgo Biloba Extract
Biloban,Ginkgo Biloba Leaf Extract
Bilobil Intense,Ginkgo Leaf Extract
Bilpexo,Bilastine
Bilprevda,Denosumab
Biltricide,Praziquantel
Biludex,Bicalutamide
Bilumide,Bicalutamide
Biluron,Bicalutamide
Biluta,Bicalutamide
Bilutamid,Bicalutamide
Bimadoc,Bimatoprost
Bimagan,Bimatoprost
Bimanext,Bimatoprost
Bimanox,Brimonidine Tartrate
Bimaprez,Bimatoprost
Bimatix,Imatinib
Bimatoprost,Bimatoprost
Bimatoprost 1 A Pharma,Bimatoprost
Bimatoprost Aet,Bimatoprost
Bimatoprost Al,Bimatoprost
Bimatoprost Alissa Healthcare Research,Bimatoprost
Bimatoprost Aspire,Bimatoprost
Bimatoprost Axunio,Bimatoprost
Bimatoprost Biogaran,Bimatoprost
Bimatoprost Blumont Pharma,Bimatoprost
Bimatoprost Brown & Burk,Bimatoprost
Bimatoprost Brown & Burk Uk,Bimatoprost
Bimatoprost Cf,Bimatoprost
Bimatoprost Eg,Bimatoprost
Bimatoprost Eg (Eurogenerics) Nv,Bimatoprost
Bimatoprost Farmaprojects,Bimatoprost
Bimatoprost Genetic,Bimatoprost
Bimatoprost Genus Pharmaceuticals,Bimatoprost
Bimatoprost Genus Pharmaceuticals Ltd.,Bimatoprost
Bimatoprost Hexal,Bimatoprost
Bimatoprost Idifarma Desarrollo Farmacéutico,Bimatoprost
Bimatoprost Medicom,Bimatoprost
Bimatoprost Micro Labs,Bimatoprost
Bimatoprost Mylan,Bimatoprost
Bimatoprost Neon Healthcare,Bimatoprost
Bimatoprost Olikla,Bimatoprost
