+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------------------------+----------------+
| substance                                                                                                                                                                                                                                   | count_allergic_patients | count_medicine |
| Aesculus Hippocastanum L.                                                                                                                                                                                                                   |                       0 |              2 |
| Dexamethasone Sodium Metasulphobenzoate                                                                                                                                                                                                     |                       0 |              2 |
| Senna Dry Extract                                                                                                                                                                                                                           |                       0 |              1 |
| Allium Cepa                                                                                                                                                                                                                                 |                       0 |              2 |
| Hydralazine                                                                                                                                                                                                                                 |                       0 |              1 |
| Rizatriptan Benzoate                                                                                                                                                                                                                        |                       0 |             57 |
| Sitagliptin Tartrate Hemihydrate                                                                                                                                                                                                            |                       0 |              2 |
| Sulfadimidine                                                                                                                                                                                                                               |                       0 |              1 |
| Hypokit                                                                                                                                                                                                                                     |                       0 |              1 |
| Diphtheria Antitoxin                                                                                                                                                                                                                        |                       0 |              0 |
| Sodium Phosphate Dibasic Heptahydrate                                                                                                                                                                                                       |                       0 |              1 |
| Tanninum Albuminatum                                                                                                                                                                                                                        |                       0 |              1 |
| Idarucizumab                                                                                                                                                                                                                                |                       0 |              1 |
| Doxylamine                                                                                                                                                                                                                                  |                       0 |              2 |
| Erythromycin Cyclocarbonate                                                                                                                                                                                                                 |                       0 |              1 |
| Testosterone Enantate                                                                                                                                                                                                                       |                       0 |             19 |
| Interferon Alfa                                                                                                                                                                                                                             |                       0 |              1 |
| Lemon Grass Oil                                                                                                                                                                                                                             |                       0 |              1 |
| Echinaceae Purpurae Herbae Extractum Siccum                                                                                                                                                                                                 |                       0 |              1 |
| Ethyl Loflazepate                                                                                                                                                                                                                           |                       0 |              1 |
| Ispaghula                                                                                                                                                                                                                                   |                       0 |             10 |
| Linaclotide                                                                                                                                                                                                                                 |                       0 |              1 |
| Bumetanide                                                                                                                                                                                                                                  |                       0 |              9 |
| Medrogestone                                                                                                                                                                                                                                |                       0 |              1 |
| Tilia Cordata                                                                                                                                                                                                                               |                       0 |              2 |
| Enzalutamide                                                                                                                                                                                                                                |                       0 |             68 |
| Fedratinib                                                                                                                                                                                                                                  |                       0 |              1 |
| Aloin                                                                                                                                                                                                                                       |                       0 |              1 |
| L-Chloramphenicol                                                                                                                                                                                                                           |                       0 |              1 |
| Lornoxicam                                                                                                                                                                                                                                  |                       0 |              5 |
| Calcium Levofolinate                                                                                                                                                                                                                        |                       0 |              6 |
| Mertiatide                                                                                                                                                                                                                                  |                       0 |              6 |
| Torasemide Sodium                                                                                                                                                                                                                           |                       0 |              4 |
| Venlafaxine                                                                                                                                                                                                                                 |                       0 |            162 |
| Aminophylline Hydrate Bp                                                                                                                                                                                                                    |                       0 |              1 |
| Montelukast                                                                                                                                                                                                                                 |                       0 |            164 |
| Magnesium Orotate Dihydrate                                                                                                                                                                                                                 |                       0 |              3 |
| Carbomer 980                                                                                                                                                                                                                                |                       0 |              5 |
| Metildigoxin                                                                                                                                                                                                                                |                       0 |              2 |
| Tripelennamine Hydrochloride                                                                                                                                                                                                                |                       0 |              4 |
| Viscum Album Mother Tincture                                                                                                                                                                                                                |                       0 |              2 |
| Anhydrous Tiotropium Bromide                                                                                                                                                                                                                |                       0 |              3 |
| Naphazoline Nitrate                                                                                                                                                                                                                         |                       0 |             10 |
| Ornidazole                                                                                                                                                                                                                                  |                       0 |              1 |
| Mistletoe Extract                                                                                                                                                                                                                           |                       0 |              1 |
| Cefoxitin                                                                                                                                                                                                                                   |                       0 |              5 |
| Urtica Dioica                                                                                                                                                                                                                               |                       0 |              3 |
| Zilucoplan                                                                                                                                                                                                                                  |                       0 |              1 |
| Arrhenatherum Elatius Pollen                                                                                                                                                                                                                |                       0 |              2 |
| Nilotinib Hydrochloride Monohydrate                                                                                                                                                                                                         |                       0 |              2 |
| Pakningsstørrelser > 28 Stk. Stada                                                                                                                                                                                                          |                       0 |              1 |
| Édulcorée À L'acésulfame Potassique                                                                                                                                                                                                         |                       0 |              2 |
| Obeticholic Acid                                                                                                                                                                                                                            |                       0 |              1 |
| Passiflora Incarnata Mother Tincture                                                                                                                                                                                                        |                       0 |              1 |
| Plantaginis Extractum Fluidum                                                                                                                                                                                                               |                       0 |              1 |
| Chlorine                                                                                                                                                                                                                                    |                       0 |              1 |
| 05 %                                                                                                                                                                                                                                        |                       0 |              1 |
| Corylus Avellana                                                                                                                                                                                                                            |                       0 |              2 |
| Permethrin (25:75)                                                                                                                                                                                                                          |                       0 |             12 |
| Cinacalcet                                                                                                                                                                                                                                  |                       0 |             59 |
| Fluticasone Furoate                                                                                                                                                                                                                         |                       0 |             36 |
| 5-Methyltetrahydrofolate Di Calcium Pentahydrate                                                                                                                                                                                            |                       0 |              1 |
| Glyceryl Trinitrate Solution                                                                                                                                                                                                                |                       0 |              4 |
| D-Penicillamine                                                                                                                                                                                                                             |                       0 |              6 |
| Bismuth Subgallate                                                                                                                                                                                                                          |                       0 |              3 |
| Psyllium Seed                                                                                                                                                                                                                               |                       0 |              4 |
| Procaine                                                                                                                                                                                                                                    |                       0 |              1 |
| Clofazimine                                                                                                                                                                                                                                 |                       0 |              1 |
| Fumagillin                                                                                                                                                                                                                                  |                       0 |              1 |
| Aciclovir                                                                                                                                                                                                                                   |                       0 |            284 |
| Hawthorn Tincture                                                                                                                                                                                                                           |                       0 |              1 |
| Dermatophagoides Farinae                                                                                                                                                                                                                    |                       0 |             16 |
| Brotizolam                                                                                                                                                                                                                                  |                       0 |              6 |
| Raltegravir                                                                                                                                                                                                                                 |                       0 |             10 |
| Colecalciferol Concentrate (Powder Form) (Sds)                                                                                                                                                                                              |                       0 |              2 |
| Germanium (68ge) Chloride                                                                                                                                                                                                                   |                       0 |              3 |
| Human Albumin Solution                                                                                                                                                                                                                      |                       0 |             13 |
| Diazoxide                                                                                                                                                                                                                                   |                       0 |              2 |
| Ribonucleic Acid                                                                                                                                                                                                                            |                       0 |              1 |
| Short                                                                                                                                                                                                                                       |                       0 |              1 |
| Stibium Sulfuratum Aurantiacum Trit. D6                                                                                                                                                                                                     |                       0 |              1 |
| Hydroxocobalamin Chloride                                                                                                                                                                                                                   |                       0 |              7 |
| Rufinamide                                                                                                                                                                                                                                  |                       0 |              6 |
| Digoxin Ph. Eur.                                                                                                                                                                                                                            |                       0 |              3 |
| Sodium Ferric Gluconate Complex                                                                                                                                                                                                             |                       0 |              2 |
| Sylimarin-Phospholipid Complex Containing 30% Of Flavonolignans Standardised For Syllibin And 1.5% Of Phosphorus                                                                                                                            |                       0 |              1 |
| Dolutegravir                                                                                                                                                                                                                                |                       0 |              4 |
| Solifenacin Succinate                                                                                                                                                                                                                       |                       0 |            209 |
| Eprosartan Mesilate                                                                                                                                                                                                                         |                       0 |              5 |
| Temazepam                                                                                                                                                                                                                                   |                       0 |             17 |
| Estradiol Hemihydrate                                                                                                                                                                                                                       |                       0 |             45 |
| Theophylline Sodium Acetate                                                                                                                                                                                                                 |                       0 |              1 |
| Iptacopan                                                                                                                                                                                                                                   |                       0 |              1 |
| Levocetirizine                                                                                                                                                                                                                              |                       0 |              8 |
| Elinzanetant                                                                                                                                                                                                                                |                       0 |              1 |
| Everolimus                                                                                                                                                                                                                                  |                       0 |             54 |
| Justicia Adhatoda Trit. D2                                                                                                                                                                                                                  |                       0 |              1 |
| Calcitonin (Salmon)                                                                                                                                                                                                                         |                       0 |              5 |
| Memantine                                                                                                                                                                                                                                   |                       0 |             16 |
| Tisagenlecleucel                                                                                                                                                                                                                            |                       0 |              1 |
| Valerianae Extractum Siccum                                                                                                                                                                                                                 |                       0 |              1 |
| Ferrous Fumarate                                                                                                                                                                                                                            |                       0 |             13 |
| Amantadine Hydrochloride Ph. Eur.                                                                                                                                                                                                           |                       0 |              3 |
| Lansoprazole                                                                                                                                                                                                                                |                       0 |            181 |
| Lösning I Förfylld Spruta Stada Nordic                                                                                                                                                                                                      |                       0 |              1 |
| Capecitabine                                                                                                                                                                                                                                |                       0 |             66 |
| Methohexital Sodium                                                                                                                                                                                                                         |                       0 |              2 |
| Triamcinolone Acetonide Dipotassium Phosphate                                                                                                                                                                                               |                       0 |              2 |
| Vipera Ammodytes Venom Antiserum                                                                                                                                                                                                            |                       0 |              0 |
| Ampicillin Trihydrate                                                                                                                                                                                                                       |                       0 |              1 |
| Cat Epithelium Extract                                                                                                                                                                                                                      |                       0 |              2 |
| Micronised Spironolactone                                                                                                                                                                                                                   |                       0 |              6 |
| Turnera Diffusa Mother Tincture                                                                                                                                                                                                             |                       0 |              2 |
| Wasp Venom (Vespula Spp)                                                                                                                                                                                                                    |                       0 |              2 |
| Aprepitant                                                                                                                                                                                                                                  |                       0 |             39 |
| Neridronate Sodium                                                                                                                                                                                                                          |                       0 |              1 |
| Oxolamine Citrate                                                                                                                                                                                                                           |                       0 |              2 |
| Cenegermin                                                                                                                                                                                                                                  |                       0 |              1 |
| Axitinib                                                                                                                                                                                                                                    |                       0 |             24 |
| Durvalumab                                                                                                                                                                                                                                  |                       0 |              1 |
| Thiogamma Turbo-Set                                                                                                                                                                                                                         |                       0 |              0 |
| Isatuximab                                                                                                                                                                                                                                  |                       0 |              1 |
| Levomepromazine Hydrochloride                                                                                                                                                                                                               |                       0 |              5 |
| Mavacamten                                                                                                                                                                                                                                  |                       0 |              1 |
| Thymus Extract                                                                                                                                                                                                                              |                       0 |              1 |
| En Recipiente Criogénico Portátil Nippon Gases                                                                                                                                                                                              |                       0 |              1 |
| Extract Of Fresh Fir Mistletoe Herb                                                                                                                                                                                                         |                       0 |              2 |
| Ketamine Hydrochloride                                                                                                                                                                                                                      |                       0 |             11 |
| Lolium Perenne Pollen                                                                                                                                                                                                                       |                       0 |              1 |
| Calcium Chloride Hexahydrate                                                                                                                                                                                                                |                       0 |              2 |
| Mepivacaine Hydrochloride                                                                                                                                                                                                                   |                       0 |             50 |
| Tofersen                                                                                                                                                                                                                                    |                       0 |              1 |
| Vamorolone                                                                                                                                                                                                                                  |                       0 |              1 |
| Ferrum Phosphoricum Dil. D8 Aquos.                                                                                                                                                                                                          |                       0 |              1 |
| Amcinonide                                                                                                                                                                                                                                  |                       0 |              1 |
| Captopril Bp                                                                                                                                                                                                                                |                       0 |              3 |
| Methyldopa                                                                                                                                                                                                                                  |                       0 |             12 |
| Trifluoperazine                                                                                                                                                                                                                             |                       0 |              5 |
| Viscum Album Amygdali Ex Herba Recente Col. D30                                                                                                                                                                                             |                       0 |              1 |
| Androstanolone                                                                                                                                                                                                                              |                       0 |              1 |
| Nafarelin                                                                                                                                                                                                                                   |                       0 |              2 |
| Milk Thistle Fruit                                                                                                                                                                                                                          |                       0 |              4 |
| Cefalexin Monohydrate Ph. Eur.                                                                                                                                                                                                              |                       0 |              1 |
| Ulmus Campestris L.                                                                                                                                                                                                                         |                       0 |              2 |
| Wool Alcohols                                                                                                                                                                                                                               |                       0 |              1 |
| Argatroban Monohydrate                                                                                                                                                                                                                      |                       0 |             10 |
| Nicorandil                                                                                                                                                                                                                                  |                       0 |             14 |
| Oxymetazoline                                                                                                                                                                                                                               |                       0 |              1 |
| n’-Dimethyl-P-Toluidin Smartpractice Europe                                                                                                                                                                                                 |                       0 |              1 |
| Nortriptyline                                                                                                                                                                                                                               |                       0 |             26 |
| Parecoxib Sodium                                                                                                                                                                                                                            |                       0 |              4 |
| Pirlindole Hydrochloride                                                                                                                                                                                                                    |                       0 |              1 |
| Chloral Hydrate                                                                                                                                                                                                                             |                       0 |              3 |
| Concentrate Of Proteolytic Enzymes Enriched In Bromelain                                                                                                                                                                                    |                       0 |              1 |
| Benzyl Alcohol                                                                                                                                                                                                                              |                       0 |              3 |
| Opicapone                                                                                                                                                                                                                                   |                       0 |              1 |
| Pentoxifylline                                                                                                                                                                                                                              |                       0 |             40 |
| Posaconazole                                                                                                                                                                                                                                |                       0 |             91 |
| Ciclesonide                                                                                                                                                                                                                                 |                       0 |             20 |
